Instance,abstractMethods_max,abstractMethods_mean,defaultMethods_sum,anonymousClassesQty_sum,cbo_max,cbo_sum,comparisonsQty_max,defaultMethods_max,cbo_mean,Label
google-error-prone_2.1.0,6,6,0,387,243,12297,27,0,243,cosine
google-error-prone_2.1.0,6,14,0,387,243,12297,27,0,176,cosine
google-error-prone_2.1.0,6,2,0,387,243,12297,27,0,37,cosine
google-error-prone_2.1.0,6,6,0,387,243,12297,27,0,243,cosine
google-error-prone_2.1.1,2,2,0,13,37,1841,4,0,37,euclidean
google-error-prone_2.1.1,2,6,0,13,37,1841,4,0,244,euclidean
google-error-prone_2.1.1,2,2,0,13,37,1841,4,0,37,euclidean
google-error-prone_2.1.1,2,6,0,13,37,1841,4,0,244,euclidean
google-error-prone_2.1.1,6,2,0,13,244,1841,27,0,37,euclidean
google-error-prone_2.1.1,6,6,0,13,244,1841,27,0,244,euclidean
google-error-prone_2.1.1,6,2,0,13,244,1841,27,0,37,euclidean
google-error-prone_2.1.1,6,6,0,13,244,1841,27,0,244,euclidean
google-error-prone_2.1.1,2,2,0,386,37,12351,4,0,37,euclidean
google-error-prone_2.1.1,2,6,0,386,37,12351,4,0,244,euclidean
google-error-prone_2.1.1,2,2,0,386,37,12351,4,0,37,euclidean
google-error-prone_2.1.1,2,6,0,386,37,12351,4,0,244,euclidean
google-error-prone_2.1.1,6,2,0,386,244,12351,27,0,37,euclidean
google-error-prone_2.1.1,6,6,0,386,244,12351,27,0,244,euclidean
google-error-prone_2.1.1,6,2,0,386,244,12351,27,0,37,euclidean
google-error-prone_2.1.1,6,6,0,386,244,12351,27,0,244,euclidean
google-error-prone_2.1.3,2,2,0,13,37,1880,4,0,37,l1
google-error-prone_2.1.3,2,6,0,13,37,1880,4,0,263,l1
google-error-prone_2.1.3,2,2,0,13,37,1880,4,0,37,l1
google-error-prone_2.1.3,2,6,0,13,37,1880,4,0,263,l1
google-error-prone_2.1.3,6,2,0,13,263,1880,27,0,37,l1
google-error-prone_2.1.3,6,6,0,13,263,1880,27,0,263,l1
google-error-prone_2.1.3,6,2,0,13,263,1880,27,0,37,l1
google-error-prone_2.1.3,6,6,0,13,263,1880,27,0,263,l1
google-error-prone_2.1.3,2,2,0,399,37,12995,4,0,37,l1
google-error-prone_2.1.3,2,6,0,399,37,12995,4,0,263,l1
google-error-prone_2.1.3,2,2,0,399,37,12995,4,0,37,l1
google-error-prone_2.1.3,2,6,0,399,37,12995,4,0,263,l1
google-error-prone_2.1.3,6,2,0,399,263,12995,27,0,37,l1
google-error-prone_2.1.3,6,6,0,399,263,12995,27,0,263,l1
google-error-prone_2.1.3,6,2,0,399,263,12995,27,0,37,l1
google-error-prone_2.1.3,6,6,0,399,263,12995,27,0,263,l1
google-error-prone_2.3.0,39,39,27,117,92,9604,61,4,92,l1
google-error-prone_2.3.0,39,6,27,117,92,9604,61,4,280,l1
google-error-prone_2.3.0,39,39,27,117,92,9604,61,4,92,l1
google-error-prone_2.3.0,39,6,27,117,92,9604,61,4,280,l1
google-error-prone_2.3.0,6,39,27,117,280,9604,30,0,92,l1
google-error-prone_2.3.0,6,6,27,117,280,9604,30,0,280,l1
google-error-prone_2.3.0,6,39,27,117,280,9604,30,0,92,l1
google-error-prone_2.3.0,6,6,27,117,280,9604,30,0,280,l1
google-error-prone_2.3.0,39,39,0,424,92,13712,61,4,92,l1
google-error-prone_2.3.0,39,6,0,424,92,13712,61,4,280,l1
google-error-prone_2.3.0,39,39,0,424,92,13712,61,4,92,l1
google-error-prone_2.3.0,39,6,0,424,92,13712,61,4,280,l1
google-error-prone_2.3.0,6,39,0,424,280,13712,30,0,92,l1
google-error-prone_2.3.0,6,6,0,424,280,13712,30,0,280,l1
google-error-prone_2.3.0,6,39,0,424,280,13712,30,0,92,l1
google-error-prone_2.3.0,6,6,0,424,280,13712,30,0,280,l1
google-error-prone_2.3.1,39,39,27,117,92,9604,61,4,92,l1
google-error-prone_2.3.1,39,6,27,117,92,9604,61,4,283,l1
google-error-prone_2.3.1,39,39,27,117,92,9604,61,4,92,l1
google-error-prone_2.3.1,39,6,27,117,92,9604,61,4,283,l1
google-error-prone_2.3.1,6,39,27,117,283,9604,30,0,92,l1
google-error-prone_2.3.1,6,6,27,117,283,9604,30,0,283,l1
google-error-prone_2.3.1,6,39,27,117,283,9604,30,0,92,l1
google-error-prone_2.3.1,6,6,27,117,283,9604,30,0,283,l1
google-error-prone_2.3.1,39,39,0,424,92,13796,61,4,92,l1
google-error-prone_2.3.1,39,6,0,424,92,13796,61,4,283,l1
google-error-prone_2.3.1,39,39,0,424,92,13796,61,4,92,l1
google-error-prone_2.3.1,39,6,0,424,92,13796,61,4,283,l1
google-error-prone_2.3.1,6,39,0,424,283,13796,30,0,92,l1
google-error-prone_2.3.1,6,6,0,424,283,13796,30,0,283,l1
google-error-prone_2.3.1,6,39,0,424,283,13796,30,0,92,l1
google-error-prone_2.3.1,6,6,0,424,283,13796,30,0,283,l1
google-error-prone_2.3.2,39,39,27,117,92,9604,61,4,92,l1
google-error-prone_2.3.2,39,6,27,117,92,9604,61,4,335,l1
google-error-prone_2.3.2,39,39,27,117,92,9604,61,4,92,l1
google-error-prone_2.3.2,39,6,27,117,92,9604,61,4,335,l1
google-error-prone_2.3.2,6,39,27,117,335,9604,35,1,92,l1
google-error-prone_2.3.2,6,6,27,117,335,9604,35,1,335,l1
google-error-prone_2.3.2,6,39,27,117,335,9604,35,1,92,l1
google-error-prone_2.3.2,6,6,27,117,335,9604,35,1,335,l1
google-error-prone_2.3.2,39,39,1,464,92,15367,61,4,92,l1
google-error-prone_2.3.2,39,6,1,464,92,15367,61,4,335,l1
google-error-prone_2.3.2,39,39,1,464,92,15367,61,4,92,l1
google-error-prone_2.3.2,39,6,1,464,92,15367,61,4,335,l1
google-error-prone_2.3.2,6,39,1,464,335,15367,35,1,92,l1
google-error-prone_2.3.2,6,6,1,464,335,15367,35,1,335,l1
google-error-prone_2.3.2,6,39,1,464,335,15367,35,1,92,l1
google-error-prone_2.3.2,6,6,1,464,335,15367,35,1,335,l1
grpc-grpc-java_1.17.2,12,12,0,990,113,11031,36,0,113,cosine
grpc-grpc-java_1.18.0,10,10,6,176,146,4378,87,2,146,cosine
grpc-grpc-java_1.18.0,10,12,6,176,146,4378,87,2,113,cosine
